CIF,Fname,Lname,Mobile,Email,NationalID,Gender,BirthYear,Address,District,CardNumber,GroupID
19UUA66216A910058,Lily,Archdeacon,1258612362,larchdeaconu@eepurl.com,4571227531,f,NULL,"81659 Luster Avenue",AL,560222750987331000,G04
1C3CDWBA6CD988848,Wyn,Wisker,7927567426,wwiskery@dion.ne.jp,1600441300,m,1979,"92848 Corry Court",DC,3571778414041300,G05
1FTEW1CM6CF119999,Gibby,Salvage,9602744138,gsalvages@mapquest.com,1086891880,m,1991,"685 Talisman Alley",TN,3562890072312280,G04
1G4GD5G38FF170009,Miranda,Kirkwood,1832584665,mkirkwood3@bloomberg.com,9064862575,f,1972,"7643 Vidon Plaza",OH,3582414938335150,G01
1G4GE5G39CF298767,Allan,Meighan,2793577788,ameighanc@1688.com,2887555839,m,1988,"945 Scott Street",TX,3543858557758010,NULL
1G6DA5EY8B0004085,Ringo,Martynka,5764004810,rmartynka19@sciencedirect.com,4119259374,m,2001,"7 Arizona Plaza",TX,3585105339583870,G09
1G6DP577850849509,Rabbi,Warr,4494578360,rwarrx@dedecms.com,2583516205,m,1968,"626 Bowman Crossing",NV,4017951870153950,G05
1G6KD57Y48U724657,NULL,Stent,4807750045,vstentj@hostgator.com,7149098215,m,1987,"9206 Carey Point",FL,4175008174010400,NULL
1GKS1CKJ8FR271958,Sergeant,Brantl,7668456717,sbrantl7@skype.com,3663537013,m,1960,"3 Farmco Lane",NJ,3562348766083340,NULL
1GYFK46818R613965,Dewie,Dimitriou,4458108788,ddimitriou18@ca.gov,4879640670,m,NULL,"9977 Lunder Point",FL,633110162351582000,G09
1GYS3AKJ0FR089353,Ninette,Rossin,3028642013,nrossin5@scribd.com,5390829069,f,1988,"2745 Magdeline Road",TX,3579954216667170,NULL
1GYUCFEJXAR387998,NULL,Call,2566719000,hcall9@t-online.de,5995129600,m,1968,"4 Bartillon Street",TX,30592239524291,NULL
1N4AL2AP3CN371668,Archibaldo,NULL,9313163183,ayuryicheve@smugmug.com,4574142472,m,NULL,"821 Aberg Trail",IL,3569842607456540,NULL
2FMDK3AKXEB663426,Hanan,Hembrow,1929452778,hhembrown@qq.com,8288664644,m,1989,"3050 Oak Valley Terrace",IL,5610702823746490,NULL
2G4WE537351549040,NULL,NULL,9205500286,cmaffiotti0@hibu.com,6473469427,NULL,1994,"52649 Russell Way",MI,3576094714990240,NULL
2T1BURHE7EC333164,Shannon,Quarrell,7858618422,squarrellv@nbcnews.com,3950485562,f,1992,"61 Merchant Junction",TX,67094223365959300,NULL
3D7TP2CT2BG261113,Odell,MacKey,9025213329,omackeyk@kickstarter.com,9568449264,m,NULL,"25 Colorado Parkway",CA,346862688563457,NULL
3FAHP0JA7AR889392,Jephthah,Diben,2736699761,jdiben16@parallels.com,7302087903,m,1990,"8 Maple Place",MO,3550466957040100,G08
3GYT4NEF8BG707853,Annamaria,Castellone,1044230946,acastellonea@parallels.com,1810332664,f,NULL,"0148 Glacier Hill Trail",IN,3558173487574700,NULL
3N1CN7AP1EK843341,Anissa,Clatworthy,5419385499,aclatworthy1c@marketwatch.com,0389267724,f,1959,"2149 Ronald Regan Junction",GA,201810909587106,G10
4T1BD1FK3FU425396,Maurene,Bercher,2746940744,mbercher11@icq.com,6173181894,f,2000,"68 Riverside Place",IA,3543918628437760,G07
4T1BK3DB3BU427065,Freeland,Dykas,6322819143,fdykas13@eventbrite.com,4818869120,m,NULL,"3417 Atwood Plaza",CA,3536901612976880,G07
5FPYK1F5XEB038065,Rand,Autin,4307633832,rautinq@topsy.com,0570149185,m,1982,"117 Goodland Drive",CA,3562666370966920,G04
5GAKVCKD6FJ555518,NULL,Villaret,6468117278,hvillarett@nymag.com,7856059206,f,NULL,"5701 Holy Cross Junction",CO,6333085072638650000,G04
5J8TB18218A080029,Abelard,Tryhorn,1842245234,atryhorn17@de.vu,0789644770,m,NULL,"03 Merry Court",NY,3536520125502220,G09
5N1CR2MN7EC654872,Pierre,NULL,8075294151,pcarnoghan12@ted.com,3972545703,m,NULL,"61 Lakeland Pass",CA,5610602629312210,G07
5XYKT3A68FG309352,Lewiss,Woltman,4238537394,lwoltmang@livejournal.com,9585861496,m,1990,"16493 Maywood Avenue",FL,604733114326263,G02
JH4KB16677C844323,Garv,Childerley,4044452807,gchilderleyh@go.com,6389231288,m,1992,"719 Grasskamp Circle",ND,3573332691715190,G02
JN1CV6FE6CM498788,Munmro,NULL,1183172554,mvassman1b@rambler.ru,4420699523,NULL,NULL,"91691 Lighthouse Bay Plaza",OH,201418299538372,G10
JN8AF5MR4FT672535,Dixie,Gergolet,4727206870,dgergolet8@paginegialle.it,6883745599,f,NULL,"6 Summer Ridge Street",MI,3549344219396580,NULL
JN8AZ2KR4ET619566,Davidson,Jarad,4584825332,djarad6@xinhuanet.com,4192272334,m,1995,"786 South Alley",DC,30459168576215,NULL
JTHBF5C26D5778795,Osmond,Huggin,1232577819,ohuggin1a@mlb.com,9195967486,m,2000,"95 Waxwing Place",CA,3541284153207580,G10
